2022-10-06 22:54:27;0:1;0:1
2022-10-06 22:54:29;0:2;0:1
2022-10-06 22:54:30;0:4;0:1
2022-10-06 22:54:32;0:5;0:1
2022-10-06 22:54:33;0:7;0:1
2022-10-06 22:54:35;0:9;0:1
2022-10-06 22:54:36;0:10;0:1
2022-10-06 22:54:38;0:12;0:1
2022-10-06 22:54:39;0:13;0:1
2022-10-06 22:54:41;0:15;0:1
2022-10-06 22:54:42;0:16;0:1
2022-10-06 22:54:44;0:18;0:1
2022-10-06 22:54:45;0:19;0:1
2022-10-06 22:54:47;0:21;0:1
2022-10-06 22:54:48;0:22;0:1
2022-10-06 22:54:50;0:24;0:1
2022-10-06 22:54:52;0:25;0:1
2022-10-06 22:54:53;0:27;0:1
2022-10-06 22:54:55;0:28;0:1
2022-10-06 22:54:56;0:30;0:1
2022-10-06 22:54:58;0:31;0:1
2022-10-06 22:54:59;0:33;0:1
2022-10-06 22:55:01;0:35;0:1
2022-10-06 22:55:02;0:36;0:1
2022-10-06 22:55:04;0:38;0:1
2022-10-06 22:55:06;0:39;0:1
2022-10-06 22:55:07;0:41;0:1
2022-10-06 22:55:09;0:42;0:1
2022-10-06 22:55:10;0:44;0:1
2022-10-06 22:55:12;0:46;0:1
2022-10-06 22:55:14;0:47;0:1
2022-10-06 22:55:16;0:49;0:1
2022-10-06 22:55:17;0:51;0:1
2022-10-06 22:55:19;0:53;0:1
2022-10-06 22:55:21;0:55;0:1
2022-10-06 22:55:23;0:56;0:1
2022-10-06 22:55:24;0:58;0:1
2022-10-06 22:55:26;1:0;0:1
2022-10-06 22:55:28;1:2;0:1
2022-10-06 22:55:30;1:4;0:1
2022-10-06 22:55:32;1:6;0:1
2022-10-06 22:55:34;1:7;0:1
2022-10-06 22:55:35;1:9;0:1
2022-10-06 22:55:37;1:11;0:1
2022-10-06 22:55:39;1:12;0:1
2022-10-06 22:55:40;1:14;0:1
2022-10-06 22:55:42;1:16;0:1
2022-10-06 22:55:44;1:17;0:1
2022-10-06 22:55:45;1:19;0:1
2022-10-06 22:55:47;1:21;0:1
2022-10-06 22:55:49;1:23;0:1
2022-10-06 22:55:51;1:24;0:1
2022-10-06 22:55:52;1:26;0:1
2022-10-06 22:55:54;1:28;0:1
2022-10-06 22:55:56;1:29;0:1
2022-10-06 22:55:57;1:31;0:1
2022-10-06 22:55:59;1:33;0:1
2022-10-06 22:56:01;1:35;0:1
2022-10-06 22:56:03;1:36;0:1
2022-10-06 22:56:04;1:38;0:1
2022-10-06 22:56:06;1:40;0:1
2022-10-06 22:56:08;1:42;0:1
2022-10-06 22:56:10;1:43;0:1
2022-10-06 22:56:11;1:45;0:1
2022-10-06 22:56:13;1:47;0:1
2022-10-06 22:56:15;1:49;0:1
2022-10-06 22:56:17;1:50;0:1
2022-10-06 22:56:18;1:52;0:1
2022-10-06 22:56:20;1:54;0:1
2022-10-06 22:56:22;1:56;0:1
2022-10-06 22:56:24;1:57;0:1
2022-10-06 22:56:26;1:59;0:1
2022-10-06 22:56:27;2:1;0:1
2022-10-06 22:56:29;2:3;0:1
2022-10-06 22:56:31;2:5;0:1
2022-10-06 22:56:33;2:6;0:1
2022-10-06 22:56:34;2:8;0:1
2022-10-06 22:56:36;2:10;0:1
2022-10-06 22:56:38;2:12;0:1
2022-10-06 22:56:40;2:13;0:1
2022-10-06 22:56:42;2:15;0:1
2022-10-06 22:56:43;2:17;0:1
2022-10-06 22:56:45;2:19;0:1
2022-10-06 22:56:47;2:21;0:1
2022-10-06 22:56:49;2:22;0:1
2022-10-06 22:56:50;2:24;0:1
2022-10-06 22:56:52;2:26;0:1
2022-10-06 22:56:54;2:28;0:1
2022-10-06 22:56:56;2:30;0:1
2022-10-06 22:56:58;2:31;0:1
2022-10-06 22:56:59;2:33;0:1
2022-10-06 22:57:01;2:35;0:1
2022-10-06 22:57:03;2:37;0:1
2022-10-06 22:57:05;2:38;0:1
2022-10-06 22:57:06;2:40;0:1
2022-10-06 22:57:08;2:42;0:1
2022-10-06 22:57:10;2:44;0:1
2022-10-06 22:57:12;2:45;0:1
2022-10-06 22:57:13;2:47;0:1
